age,unvaccinated,partially_vaccinated,fully_vaccinated
0-12,0.014,0,0
13-19,0.2,0,0
20-29,0.053,0.11,0
30-39,0.42,0.074,0.0093
40-49,0.54,0.52,0.036
50-59,2.3,2,0.14
60-69,7,4.4,0.33
70-79,14,11,1.1
80+,24,15,3.3
