age,unvaccinated,partially_vaccinated,fully_vaccinated
0-12,0.042,0,0
13-19,0.2,0,0
20-29,0.63,0.23,0.013
30-39,1.7,0.67,0.061
40-49,3,1.6,0.2
50-59,11,9.7,0.67
60-69,25,19,1.7
70-79,34,28,4.7
80+,47,38,12
